district,ps,reg_year,reg_month,count
AGRA,HARI PARVAT,2018,10,70
AGRA,HARI PARVAT,2018,11,51
AGRA,HARI PARVAT,2018,12,76
AGRA,IRADAT NAGAR,2016,1,9
AGRA,IRADAT NAGAR,2016,2,7
AGRA,IRADAT NAGAR,2016,3,25
AGRA,IRADAT NAGAR,2016,4,18
AGRA,IRADAT NAGAR,2016,5,27
AGRA,IRADAT NAGAR,2016,6,13
AGRA,IRADAT NAGAR,2016,7,28
AGRA,IRADAT NAGAR,2016,8,23
AGRA,IRADAT NAGAR,2016,9,11
AGRA,IRADAT NAGAR,2016,10,27
AGRA,IRADAT NAGAR,2016,11,13
AGRA,IRADAT NAGAR,2016,12,10
AGRA,IRADAT NAGAR,2017,1,15
AGRA,IRADAT NAGAR,2017,2,12
AGRA,IRADAT NAGAR,2017,3,28
AGRA,IRADAT NAGAR,2017,4,23
AGRA,IRADAT NAGAR,2017,5,11
AGRA,IRADAT NAGAR,2017,6,12
AGRA,IRADAT NAGAR,2017,7,25
AGRA,IRADAT NAGAR,2017,8,46
AGRA,IRADAT NAGAR,2017,9,14
AGRA,IRADAT NAGAR,2017,10,23
AGRA,IRADAT NAGAR,2017,11,30
AGRA,IRADAT NAGAR,2017,12,13
AGRA,IRADAT NAGAR,2018,1,9
AGRA,IRADAT NAGAR,2018,2,19
AGRA,IRADAT NAGAR,2018,3,15
AGRA,IRADAT NAGAR,2018,4,30
AGRA,IRADAT NAGAR,2018,5,24
AGRA,IRADAT NAGAR,2018,6,24
AGRA,IRADAT NAGAR,2018,7,18
AGRA,IRADAT NAGAR,2018,8,20
AGRA,IRADAT NAGAR,2018,9,11
AGRA,IRADAT NAGAR,2018,10,12
AGRA,IRADAT NAGAR,2018,11,13
AGRA,IRADAT NAGAR,2018,12,25
AGRA,JAGDISHPURA,2016,1,50
AGRA,JAGDISHPURA,2016,2,79
AGRA,JAGDISHPURA,2016,3,58
AGRA,JAGDISHPURA,2016,4,73
AGRA,JAGDISHPURA,2016,5,99
AGRA,JAGDISHPURA,2016,6,102
AGRA,JAGDISHPURA,2016,7,85
AGRA,JAGDISHPURA,2016,8,80
AGRA,JAGDISHPURA,2016,9,66
AGRA,JAGDISHPURA,2016,10,55
AGRA,JAGDISHPURA,2016,11,51
AGRA,JAGDISHPURA,2016,12,73
AGRA,JAGDISHPURA,2017,1,72
AGRA,JAGDISHPURA,2017,2,73
AGRA,JAGDISHPURA,2017,3,75
AGRA,JAGDISHPURA,2017,4,63
AGRA,JAGDISHPURA,2017,5,86
AGRA,JAGDISHPURA,2017,6,66
AGRA,JAGDISHPURA,2017,7,106
AGRA,JAGDISHPURA,2017,8,97
AGRA,JAGDISHPURA,2017,9,86
AGRA,JAGDISHPURA,2017,10,106
AGRA,JAGDISHPURA,2017,11,80
AGRA,JAGDISHPURA,2017,12,76
AGRA,JAGDISHPURA,2018,1,65
AGRA,JAGDISHPURA,2018,2,102
AGRA,JAGDISHPURA,2018,3,139
AGRA,JAGDISHPURA,2018,4,88
AGRA,JAGDISHPURA,2018,5,141
AGRA,JAGDISHPURA,2018,6,93
AGRA,JAGDISHPURA,2018,7,91
AGRA,JAGDISHPURA,2018,8,91
AGRA,JAGDISHPURA,2018,9,84
AGRA,JAGDISHPURA,2018,10,81
AGRA,JAGDISHPURA,2018,11,83
AGRA,JAGDISHPURA,2018,12,81
AGRA,JAGNER,2016,1,9
AGRA,JAGNER,2016,2,10
AGRA,JAGNER,2016,3,13
AGRA,JAGNER,2016,4,7
AGRA,JAGNER,2016,5,15
AGRA,JAGNER,2016,6,10
AGRA,JAGNER,2016,7,14
AGRA,JAGNER,2016,8,17
AGRA,JAGNER,2016,9,14
AGRA,JAGNER,2016,10,9
AGRA,JAGNER,2016,11,15
AGRA,JAGNER,2016,12,24
AGRA,JAGNER,2017,1,10
AGRA,JAGNER,2017,2,31
AGRA,JAGNER,2017,3,18
AGRA,JAGNER,2017,4,28
AGRA,JAGNER,2017,5,15
AGRA,JAGNER,2017,6,12
AGRA,JAGNER,2017,7,10
AGRA,JAGNER,2017,8,25
AGRA,JAGNER,2017,9,16
AGRA,JAGNER,2017,10,13
AGRA,JAGNER,2017,11,24
AGRA,JAGNER,2017,12,13
AGRA,JAGNER,2018,1,18
AGRA,JAGNER,2018,2,30
AGRA,JAGNER,2018,3,10
